timestamp,height,area_3d,leaf_area_index,leaf_inclination,digital_biomass,leaf_angle,proj_area,light_pen_depth,ndvi_aver,greenness_aver,hue_aver,npci_aver,psri_aver,Genotype
15/06/2021 08:12,32697,49663816,494,135073,16238571,47759,33402777,231158,71413,40868,10995629,15182,4148,Tequila
15/06/2021 08:12,435658,44677578,445,131974,19464148,49263,23737762,380065,7326,24197,11642175,5348,1462,cgn16951
15/06/2021 08:12,38209,25984543,259,124086,9928446,53696,16280317,323761,75328,19411,1202473,-274,-229,cgn16951
15/06/2021 08:12,468695,36653461,365,138304,17179278,46305,21353562,409657,74929,30435,1159053,5906,1144,gpc020720
15/06/2021 08:12,46644,43086223,429,153832,20097140,40545,25638303,394549,7316,39253,11324993,1045,2329,gpc020720
15/06/2021 08:12,437015,43902895,437,155639,19186202,39978,2496868,375708,72317,38929,11210844,11191,2948,gpc017640
15/06/2021 08:12,309762,38851809,387,130643,12034803,49945,24324988,211103,73131,35906,11298987,9266,2235,gpc017640
15/06/2021 08:12,316334,4105877,409,130983,12988269,49769,25195404,221718,72868,36847,11217959,1039,2673,y24
15/06/2021 08:12,395538,42774148,426,135715,16918816,47462,26813285,319564,71121,33812,11390025,7434,2154,y24
15/06/2021 08:12,362644,41827016,416,139589,15168303,45756,27779584,252382,74093,37865,11542369,7027,1816,yolo wonder
15/06/2021 08:12,335029,18599391,185,145353,6231336,43469,12574144,159213,71851,3854,11194187,12015,2683,yolo wonder
15/06/2021 08:12,24401,5350166,532,129715,13054921,50435,38596098,120617,6909,40408,10693531,18772,5585,sweet banana
15/06/2021 08:12,266716,5461552,543,125262,14566856,52969,39012293,134622,67188,3857,10533572,19572,6226,sweet banana
15/06/2021 08:12,299832,60165762,599,146901,18039630,42899,38065379,234636,70109,38092,10951829,14162,3995,y19
15/06/2021 08:12,368018,50710863,505,143839,18662514,44044,31058273,320179,68633,37255,10816749,14604,4823,y19
15/06/2021 08:12,313221,52388387,521,124996,16409153,53131,32001529,250584,62145,33256,10404791,16718,6729,y18
15/06/2021 08:12,330953,43074266,429,132587,14255558,48956,25974521,225888,64587,3481,1057366,1584,5933,y18
15/06/2021 08:12,293394,30184416,3,139524,8855935,45783,18107684,241734,73299,37175,11255336,9978,2957,y12
15/06/2021 08:12,269744,24438596,243,146649,6592174,42991,13923811,223401,775,38269,11588937,6095,1092,y12
15/06/2021 08:19,354048,60345422,6,139547,21365152,45774,3866575,241809,70131,3987,10927682,15605,4214,Tequila
15/06/2021 08:19,343618,51846441,516,130083,17815380,5024,36386809,249611,70788,40602,10954405,1528,4234,Tequila
15/06/2021 08:19,404569,30656945,305,129011,12402853,50816,18995217,300952,74286,21664,11600737,3283,777,cgn16951
15/06/2021 08:19,387738,2213151,22,125401,8581234,52886,14127971,318978,74135,17283,11694179,192,801,cgn16951
15/06/2021 08:19,412446,35691301,355,14288,14720745,44417,20134338,359034,73748,29091,11457233,6563,1697,gpc020720
15/06/2021 08:19,415518,36072355,359,167673,14988729,36611,19684004,369475,72032,39585,10965629,14496,3932,gpc020720
15/06/2021 08:19,483893,3461693,344,143554,16750880,44154,19703762,370855,69963,37028,11073075,11681,3883,gpc017640
15/06/2021 08:19,292526,3429277,341,123003,10031543,54388,21139709,188372,7278,37536,11087143,12435,3208,gpc017640
15/06/2021 08:19,325223,35621828,354,127191,11585021,51833,21721775,220025,72813,3705,11210673,10817,2727,y24
15/06/2021 08:19,404321,43428,432,14321,17558860,44288,26791758,326184,70842,34462,11251043,8681,2665,y24
15/06/2021 08:19,424148,2984415,297,137001,12658335,46879,19090678,360243,70048,33824,11192702,8697,3279,yolo wonder
15/06/2021 08:19,410395,38649234,385,136486,15861444,4711,24598549,271939,71125,37818,10990694,13292,3604,yolo wonder
15/06/2021 08:19,285814,47666652,474,123863,13623807,53836,35719203,151104,66063,38072,1053028,19601,6368,sweet banana
15/06/2021 08:19,292976,45002191,448,12594,13184576,52562,31502703,192474,67663,37358,10708263,1709,5493,sweet banana
15/06/2021 08:19,35188,62343754,62,142963,21937520,44384,3833532,249366,69355,37103,10926715,13423,4205,y19
15/06/2021 08:19,342957,59374125,591,145925,20362774,43257,37716355,276255,69225,37333,10834731,14512,4439,y19
15/06/2021 08:19,334227,4694709,467,122375,15690976,54801,3136224,239108,63253,34567,10503833,17372,6446,y18
15/06/2021 08:19,297488,45939227,457,146141,13666387,43177,26439844,243037,59539,32577,10160727,19587,8252,y18
15/06/2021 08:19,278518,28158283,28,134145,78425835,48197,17814158,232838,71371,35511,11061624,10972,3784,y12
15/06/2021 08:19,272434,15610832,155,139698,42529285,4571,9444729,249969,7232,31699,11334708,468,2342,y12
16/06/2021 08:06,340668,73175172,728,133742,24928428,48391,4772225,272519,69433,40164,10785727,17276,5002,Tequila
16/06/2021 08:06,346115,54616637,543,130381,18903650,50082,37234293,220434,71248,39036,10992019,1385,4012,Tequila
16/06/2021 08:06,463015,4883466,486,129149,22611180,5074,28458586,3879,73542,21963,11684766,302,1046,cgn16951
16/06/2021 08:06,445675,27730602,276,127583,12358827,51609,17812695,373641,74413,19483,12250127,-2058,-43,cgn16951
16/06/2021 08:06,449124,44877789,447,145041,20155688,43586,24338674,371367,76968,29844,11716545,4277,757,gpc020720
16/06/2021 08:06,436835,58548656,583,186228,25576078,32476,27559279,349784,74519,40224,1122076,11904,2628,gpc020720
16/06/2021 08:06,488365,53799988,535,150615,26274038,416,29778553,41958,69117,3702,11313773,10328,309,gpc017640
16/06/2021 08:06,332752,42419781,422,123877,14115250,53827,27273826,22855,73439,35669,1155863,6264,1625,gpc017640
16/06/2021 08:06,31029,40419984,402,124715,12541909,53304,2464734,205792,72246,35681,11292467,8957,2699,y24
16/06/2021 08:06,460703,48982941,487,143913,22566570,44015,29685299,371399,72172,36433,11233787,9381,3189,y24
16/06/2021 08:06,397963,3894509,388,143097,15498696,44332,23972857,266437,71563,36785,11289413,9423,3133,yolo wonder
16/06/2021 08:06,393363,1511264,15,160475,5944750,38545,8116591,278171,72277,39344,11175937,12334,2906,yolo wonder
16/06/2021 08:06,394017,52969984,527,147205,20871054,42789,29653236,277824,67483,37885,10653992,17664,5729,y19
16/06/2021 08:06,398799,65082484,648,151163,25954802,41416,35440465,354432,67263,37707,10706374,17179,5413,y19
16/06/2021 08:06,337531,56212785,559,125578,18973558,52779,35328918,239828,6297,34555,10443364,17537,6808,y18
16/06/2021 08:06,338099,51975672,517,125496,17572898,52828,32138934,274907,61483,34271,10297292,19551,7979,y18
16/06/2021 08:06,292648,27585824,274,135613,80729385,47508,16558414,247809,71354,34661,1124941,9142,3392,y12
16/06/2021 08:06,266909,15797644,157,142641,4216538,44511,8106503,237633,77707,37373,11568406,6554,1333,y12
16/06/2021 08:12,327675,65328359,65,134651,21406466,47957,4504827,234041,68622,39151,10773358,17193,5085,Tequila
16/06/2021 08:12,339293,49570984,493,136549,16819098,47081,33022492,243861,71799,41284,11024655,15018,4022,Tequila
16/06/2021 08:12,463467,45656543,454,133491,21160280,48513,24493029,399144,73667,24208,11649459,488,1413,cgn16951
16/06/2021 08:12,409804,27532824,274,123477,11283050,54082,17081418,35317,75748,19187,12062955,-3,-137,cgn16951
16/06/2021 08:12,479896,37722473,375,138778,18102878,46101,22076078,421941,75037,30211,11586053,5799,1205,gpc020720
16/06/2021 08:12,482308,45760184,455,157404,22070524,39441,26443756,412286,73797,39722,11338499,10401,2367,gpc020720
16/06/2021 08:12,456708,4186243,417,158853,19118902,39013,235745,396199,72358,38588,11225715,10497,2874,gpc017640
16/06/2021 08:12,320943,41325941,411,130399,13263286,50073,25784037,215668,72663,35089,11330258,8644,2233,gpc017640
16/06/2021 08:12,326992,4266248,425,130955,13950293,49783,26093539,230974,72505,36455,11253236,9735,2767,y24
16/06/2021 08:12,41219,4255223,423,137848,17539590,46504,2641642,337442,70034,32798,11440987,6716,2991,y24
16/06/2021 08:12,380136,42066148,419,138236,15990841,46334,28331488,255921,73078,36496,11611964,6013,2336,yolo wonder
16/06/2021 08:12,369447,22039871,219,143444,81425645,44196,14642141,246575,70431,37996,11102166,12979,3398,yolo wonder
16/06/2021 08:12,253635,53515871,532,132388,13573518,49055,37882742,131259,68474,39854,10673754,18937,6007,sweet banana
16/06/2021 08:12,277456,5625441,56,126312,15608106,52343,39305348,14379,67225,38148,10547148,19176,6191,sweet banana
16/06/2021 08:12,320793,60684336,604,15493,19467086,40198,35952035,262646,70016,38291,10869941,15229,4524,y19
16/06/2021 08:12,38206,54598918,543,147197,20860072,42792,33062027,33727,6821,36622,10784803,14895,5176,y19
16/06/2021 08:12,329003,53599621,533,125138,17634452,53045,32877289,264124,62138,32962,10416769,16403,6646,y18
16/06/2021 08:12,346338,46632191,464,137979,16150518,46447,26561836,242823,63601,33524,10593681,15032,5999,y18
16/06/2021 08:12,312762,30339064,302,142049,9488898,44746,17809443,261794,72166,35469,11298198,903,346,y12
16/06/2021 08:12,287699,24657943,245,149104,7094065,42118,13635025,242624,7627,35846,11571321,5503,1754,y12
16/06/2021 08:19,37002,61009203,607,14265,22574626,44507,3775827,249774,69958,38892,10935178,14775,4134,Tequila
16/06/2021 08:19,355293,51716461,515,133171,18374508,48668,34908723,25508,70739,39894,10999396,14193,3978,Tequila
16/06/2021 08:19,430853,3403875,339,131634,14665682,49435,20269352,330901,73722,21885,1168581,3332,946,cgn16951
16/06/2021 08:19,41148,2242718,223,127522,9228338,51644,14276703,342115,73723,16147,12001681,498,436,cgn16951
16/06/2021 08:19,432329,35701676,355,142466,15434878,4458,20364492,361646,73534,28195,11595175,5177,1328,gpc020720
16/06/2021 08:19,450859,35193676,35,171826,15867399,35589,18563033,402061,71276,38899,10956523,13966,4065,gpc020720
16/06/2021 08:19,505883,34985793,348,143689,17698728,44101,20433605,390487,69663,36517,11115585,11135,3753,gpc017640
16/06/2021 08:19,304295,3649498,363,124374,11105251,53515,21879854,198852,73122,37989,11111655,12225,3008,gpc017640
16/06/2021 08:19,336953,37395172,372,127638,12600425,51578,22168506,225606,72833,36662,11251912,10124,2558,y24
16/06/2021 08:19,421465,44291094,441,145448,18667138,43434,26957295,333486,7107,346,11239354,8589,284,y24
16/06/2021 08:19,43971,29870367,297,140259,13134309,45476,18966439,372489,70699,3447,11182827,9281,2941,yolo wonder
16/06/2021 08:19,431593,37175883,37,139874,16044861,45636,22454506,285279,71598,38551,10976833,13874,3712,yolo wonder
16/06/2021 08:19,297,49905871,497,126767,14822025,52077,36525449,163923,66153,38117,10533387,19653,6339,sweet banana
16/06/2021 08:19,303255,46308746,461,128111,14043359,51312,31601334,210121,6782,37648,10690817,17465,5618,sweet banana
16/06/2021 08:19,370692,61667797,614,145063,22859760,43578,37127426,27168,69555,37137,10972365,1305,3987,y19
16/06/2021 08:19,354659,5703566,568,154481,20228220,40339,33753855,286481,69322,38042,10715991,16144,5049,y19
16/06/2021 08:19,350645,49840965,496,127148,17476492,51857,31150715,255044,63566,349,10516352,17282,6435,y18
16/06/2021 08:19,308813,45967484,457,148401,14195367,42364,26392701,252281,59895,32619,101734,19337,8161,y18
16/06/2021 08:19,295672,29659658,295,13664,8769530,47041,18396855,248463,71935,36168,11074302,11309,3754,y12
16/06/2021 08:19,291028,16162808,161,144343,4703823,4385,9242035,260475,73199,32584,11337389,5223,2002,y12
17/06/2021 08:06,354226,69972508,696,134312,24786078,48118,4415757,279986,69452,40246,10776249,17495,5073,Tequila
17/06/2021 08:06,363641,55904516,556,130091,20329188,50236,38498535,23807,70447,38155,1101797,12945,3898,Tequila
17/06/2021 08:06,487673,50723367,505,13085,24736416,49838,29842508,415565,73684,22321,11620791,3634,116,cgn16951
17/06/2021 08:06,467875,28434715,283,128678,13303892,50998,18052688,394159,74565,19204,12373497,-2438,-503,cgn16951
17/06/2021 08:06,473447,50265457,5,150893,23798050,41506,26088131,417244,76574,30731,11653424,5215,966,gpc020720
17/06/2021 08:06,460356,60752879,605,186638,27967972,32396,28278371,369142,743,39952,11251184,11562,2487,gpc020720
17/06/2021 08:06,502753,54265176,54,152167,27281996,41083,29852959,431361,68999,36849,11271593,10324,32,gpc017640
17/06/2021 08:06,346401,43994434,438,125197,15239694,53009,27497758,23338,73745,36213,11520778,6944,1706,gpc017640
17/06/2021 08:06,322844,41747492,415,126239,13477948,52386,25001617,212303,72528,36095,11294766,903,2646,y24
17/06/2021 08:06,47863,50451047,502,14448,24147360,43798,30553842,382821,72221,3661,11216482,965,3234,y24
17/06/2021 08:06,415851,36752539,366,140125,15283565,45531,22656412,267855,70549,36176,11236004,9672,3152,yolo wonder
17/06/2021 08:06,409388,15397229,153,15521,63034395,40111,8771891,265159,72826,39446,11187692,12052,259,yolo wonder
17/06/2021 08:06,403644,5321991,53,15152,21481906,41297,28871531,287947,67119,379,1065359,18007,5741,y19
17/06/2021 08:06,407944,66169758,658,153952,26993570,40506,35144195,361418,67242,37737,10686557,17477,5526,y19
17/06/2021 08:06,35288,59072527,588,128038,20845500,51353,35783918,256139,63151,34917,10388758,18389,7001,y18
17/06/2021 08:06,35347,53223289,53,126165,18812814,52429,32302102,28806,61365,34175,10303341,1949,797,y18
17/06/2021 08:06,311973,27731717,276,136795,8651541,46971,16312525,267511,71293,34794,11237579,9386,3388,y12
17/06/2021 08:06,281901,1622741,161,145978,4574519,43237,8123724,2549,78068,37774,11679514,5139,855,y12
17/06/2021 08:13,341903,64965832,646,133705,22211986,48409,44225375,238795,69295,39617,1080238,17053,4996,Tequila
17/06/2021 08:13,352686,53613559,533,135747,18908746,47447,34369258,262239,71465,40948,1100487,15066,4098,Tequila
17/06/2021 08:13,491034,47314324,471,136527,23232962,47091,24274271,428775,73426,23729,11633198,4792,1407,cgn16951
17/06/2021 08:13,439143,2946609,293,125778,12939836,52659,17241904,381548,76186,19143,12144666,-453,-226,cgn16951
